weekday_id,weekday_name,hour,count,amount,count_diff,amount_diff
1,Monday,5,36,2862.54,-9,-657.497142857142857142857142857
1,Monday,6,55,4026.13,-3,-800.041428571428571428571428571
1,Monday,7,47,3552.61,-20,-1842.255714285714285714285714286
1,Monday,8,66,4921.86,-10,-854.23
1,Monday,9,67,4604.27,-9,-1004.005714285714285714285714286
1,Monday,10,78,5420.42,2,-194.707142857142857142857142857
1,Monday,11,76,5581.73,0,10.978571428571428571428571429
1,Monday,12,77,6257.57,1,602.847142857142857142857142857
1,Monday,13,68,4846.4,-5,-684.602857142857142857142857143
1,Monday,14,66,4437.64,-8,-1039.601428571428571428571428571
1,Monday,15,74,6372.42,4,1078.838571428571428571428571429
1,Monday,16,86,7249.75,20,2215.945714285714285714285714286
1,Monday,17,76,5411.06,-4,-371.545714285714285714285714286
1,Monday,18,88,6572.7,9,841.737142857142857142857142857
1,Monday,19,83,5945.89,2,-112.161428571428571428571428571
1,Monday,20,71,5890.89,4,857.621428571428571428571428571
1,Monday,21,51,4526.52,1,318.077142857142857142857142857
1,Monday,22,33,2382.93,-2,-245.06
1,Monday,23,18,1374.12,0,33.298571428571428571428571429
